Country,Year,Area,Population,GDP per capita,Population density,Vehicle ownership,Total road deaths,Road deaths per Million Inhabitants
United Kingdom,2017,248.5,"66,273,576",32400,273,544,"1,825",28
Denmark,2017,42.9,"5,781,190",47600,137,508,175,30
Netherlands,2017,41.5,"17,181,084",41500,508,543,678,31
Ireland,2017,69.8,"4,830,392",59400,70,525,146,31
Sweden,2017,438.6,"10,120,242",43300,25,542,324,32
Malta,2017,0.3,"475,701",21600,"1,462",726,18,38
Spain,2017,506.0,"46,658,447",25000,93,611,"1,806",39
Germany,2017,357.3,"82.792,351",35900,237,610,"3,177",39
Finland,2017,338.4,"5,513,130",36600,18,732,225,43
Slovenia,2017,20.3,"2,066,880",20200,103,587,91,44
Austria,2017,83.9,"8,822,267",38000,107,665,409,45
Slovakia,2017,49.0,"5,443,120",15600,113,455,229,46
France,2017,632.8,"66,926,166",32800,123,590,"3,265",48
Estonia,2017,45.2,"1,319,133",15100,30,620,67,51
Belgium,2017,30.5,"11,398,589",35300,376,585,590,52
Italy,2017,302.1,"60,483,973",26700,206,707,"3,310",55
Cyprus,2017,9.3,"864,236",23300,128,726,49,57
Portugal,2017,92.2,"10,291,027",17900,112,479,606,59
Luxembourg,2017,2.6,"602,005",80800,245,740,36,60
Lithuania,2017,65.3,"2,808,901",13300,45,501,170,61
Czechia,2017,78.9,"10,610,055",17600,137,570,656,62
Hungary,2017,93.0,"9,778,371",12500,108,394,629,64
Greece,2017,132.0,"10,741,165",17800,83,605,690,64
Poland,2017,312.7,"37,976,687",12400,124,672,"2,862",76
Croatia,2017,56.5,"4,105,493",11500,74,416,317,77
Latvia,2017,64.6,"1,934,379",12300,31,387,143,78
Bulgaria,2017,111.0,"7,050,034",6500,65,516,611,88
Romania,2017,238.4,"19,530,631",8700,85,329,"1,867",96
